,0
2014-02-11 00:00:00,17919.59238
2014-02-12 00:00:00,17971.79162
2014-02-13 00:00:00,18029.49476
2014-02-14 00:00:00,18085.69199
2014-02-15 00:00:00,18145.09138
2014-02-16 00:00:00,18202.19288
2014-02-17 00:00:00,18251.29339
2014-02-18 00:00:00,18303.49366
2014-02-19 00:00:00,18359.99378
2014-02-20 00:00:00,18412.99999
2014-02-21 00:00:00,18473.29649
2014-02-22 00:00:00,18526.29572
2014-02-23 00:00:00,18574.19867
2014-02-24 00:00:00,18623.59838
2014-02-25 00:00:00,18676.29961
2014-02-26 00:00:00,18727.7
2014-02-27 00:00:00,18771.59983
2014-02-28 00:00:00,18824.49633
2014-03-01 00:00:00,18875.39478
2014-03-02 00:00:00,18924.69777
2014-03-03 00:00:00,18974.49678
2014-03-04 00:00:00,19022.29606
2014-03-05 00:00:00,19059.29961
2014-03-06 00:00:00,19091.00078
2014-03-07 00:00:00,19128.10039
2014-03-08 00:00:00,19164.50078
2014-03-09 00:00:00,19201.49844
2014-03-10 00:00:00,19238.39766
2014-03-11 00:00:00,19271.59906
2014-03-12 00:00:00,19302.29361
2014-03-13 00:00:00,19336.59883
2014-03-14 00:00:00,19369.897
2014-03-15 00:00:00,19406.60039
2014-03-16 00:00:00,19441.29251
2014-03-17 00:00:00,19473.89322
2014-03-18 00:00:00,19505.60006
2014-03-19 00:00:00,19540.50078
2014-03-20 00:00:00,19567.49455
2014-03-21 00:00:00,19604.00011
2014-03-22 00:00:00,19634.89456
2014-03-23 00:00:00,19668.2
2014-03-24 00:00:00,19693.50078
2014-03-25 00:00:00,19717.79961
2014-03-26 00:00:00,19744.79494
2014-03-27 00:00:00,19769.00078
2014-03-28 00:00:00,19794.89922
2014-03-29 00:00:00,19817.2985
2014-03-30 00:00:00,19841.79738
2014-03-31 00:00:00,19865.60039
2014-04-01 00:00:00,19890.7
2014-04-02 00:00:00,19916.7
2014-04-03 00:00:00,19942.7
2014-04-04 00:00:00,19967.60039
